Time,sample,Type,Sub,Chan,Num,Aux
0:06.4,2321,(,0,0,0,
0:06.4,2338,p,0,0,0,
0:06.5,2367,),0,0,0,
0:06.6,2382,(,0,0,1,
0:06.6,2402,N,0,0,0,
0:06.7,2418,),0,0,1,
0:06.9,2486,(,0,0,2,
0:06.9,2506,t,0,0,4,
0:07.0,2539,t,0,0,4,
0:07.1,2576,),0,0,2,
0:07.2,2625,(,0,0,0,
0:07.3,2642,p,0,0,0,
0:07.4,2665,),0,0,0,
0:07.4,2686,(,0,0,1,
0:07.5,2705,N,0,0,0,
0:07.5,2718,),0,0,1,
0:07.6,2771,(,0,0,2,
0:07.7,2801,t,0,0,4,
0:07.8,2834,t,0,0,4,
0:08.0,2886,),0,0,2,
0:08.1,2921,(,0,0,0,
0:08.1,2937,p,0,0,0,
0:08.2,2961,),0,0,0,
0:08.2,2979,(,0,0,1,
0:08.3,2996,N,0,0,0,
0:08.3,3007,),0,0,1,
0:08.5,3093,(,0,0,2,
0:08.6,3119,t,0,0,0,
0:08.7,3163,),0,0,2,
0:08.9,3206,(,0,0,0,
0:08.9,3222,p,0,0,0,
0:09.0,3244,),0,0,0,
0:09.0,3264,(,0,0,1,
0:09.1,3281,N,0,0,0,
0:09.1,3296,),0,0,1,
0:09.3,3378,(,0,0,2,
0:09.4,3404,t,0,0,0,
0:09.5,3443,),0,0,2,
0:09.6,3483,(,0,0,0,
0:09.7,3498,p,0,0,0,
0:09.7,3520,),0,0,0,
0:09.8,3541,(,0,0,1,
0:09.8,3558,N,0,0,0,
0:09.9,3572,),0,0,1,
0:10.0,3635,(,0,0,2,
0:10.1,3653,t,0,0,4,
0:10.2,3691,t,0,0,4,
0:10.3,3708,),0,0,2,
0:10.4,3776,(,0,0,0,
0:10.5,3795,p,0,0,0,
0:10.6,3820,),0,0,0,
0:10.6,3843,(,0,0,1,
0:10.7,3861,N,0,0,0,
0:10.7,3870,),0,0,1,
0:10.9,3942,(,0,0,2,
0:10.9,3957,t,0,0,4,
0:11.0,3990,t,0,0,4,
0:11.2,4041,),0,0,2,
0:11.3,4084,(,0,0,0,
0:11.4,4106,p,0,0,0,
0:11.4,4126,),0,0,0,
0:11.5,4145,(,0,0,1,
0:11.5,4169,N,0,0,0,
0:11.6,4183,),0,0,1,
0:11.8,4270,(,0,0,2,
0:11.9,4303,t,0,0,0,
0:12.0,4344,),0,0,2,
0:12.1,4381,(,0,0,0,
0:12.2,4402,p,0,0,0,
0:12.3,4429,),0,0,0,
0:12.3,4446,(,0,0,1,
0:12.4,4465,N,0,0,0,
0:12.4,4480,),0,0,1,
0:12.6,4568,(,0,0,2,
0:12.8,4609,t,0,0,0,
0:12.8,4633,),0,0,2,
0:13.0,4685,(,0,0,0,
0:13.0,4700,p,0,0,0,
0:13.1,4723,),0,0,0,
0:13.1,4744,(,0,0,1,
0:13.2,4763,N,0,0,0,
0:13.2,4780,),0,0,1,
0:13.4,4846,(,0,0,2,
0:13.5,4861,t,0,0,4,
0:13.7,4938,t,0,0,4,
0:13.7,4950,),0,0,2,
0:13.8,4980,(,0,0,0,
0:13.8,4998,p,0,0,0,
0:13.9,5019,),0,0,0,
0:14.0,5041,(,0,0,1,
0:14.0,5059,N,0,0,0,
0:14.0,5067,),0,0,1,
0:14.2,5139,(,0,0,2,
0:14.3,5150,t,0,0,4,
0:14.4,5189,t,0,0,4,
0:14.5,5230,),0,0,2,
0:14.6,5264,(,0,0,0,
0:14.6,5284,p,0,0,0,
0:14.7,5310,),0,0,0,
0:14.8,5328,(,0,0,1,
0:14.8,5345,N,0,0,0,
0:14.8,5353,),0,0,1,
0:15.1,5446,(,0,0,2,
0:15.2,5475,t,0,0,0,
0:15.2,5496,),0,0,2,
0:15.4,5554,(,0,0,0,
0:15.4,5577,p,0,0,0,
0:15.5,5594,),0,0,0,
0:15.5,5611,(,0,0,1,
0:15.6,5632,N,0,0,0,
0:15.6,5642,),0,0,1,
0:15.8,5712,(,0,0,2,
0:15.9,5727,t,0,0,4,
0:16.0,5767,t,0,0,4,
0:16.0,5791,),0,0,2,
0:16.2,5838,(,0,0,0,
0:16.2,5855,p,0,0,0,
0:16.3,5879,),0,0,0,
0:16.3,5899,(,0,0,1,
0:16.4,5917,N,0,0,0,
0:16.4,5925,),0,0,1,
0:16.6,5993,(,0,0,2,
0:16.6,6010,t,0,0,4,
0:16.8,6048,t,0,0,4,
0:16.9,6088,),0,0,2,
0:17.0,6130,(,0,0,0,
0:17.0,6146,p,0,0,0,
0:17.1,6174,),0,0,0,
0:17.2,6195,(,0,0,1,
0:17.2,6213,N,0,0,0,
0:17.3,6228,),0,0,1,
0:17.4,6293,(,0,0,2,
0:17.5,6310,t,0,0,4,
0:17.6,6347,t,0,0,4,
0:17.7,6388,),0,0,2,
0:17.8,6440,(,0,0,0,
0:17.9,6461,p,0,0,0,
0:18.0,6483,),0,0,0,
0:18.0,6506,(,0,0,1,
0:18.1,6526,N,0,0,0,
0:18.1,6541,),0,0,1,
0:18.4,6629,(,0,0,2,
0:18.5,6663,t,0,0,0,
0:18.5,6690,),0,0,2,
0:18.7,6738,(,0,0,0,
0:18.7,6758,p,0,0,0,
0:18.8,6780,),0,0,0,
0:18.8,6801,(,0,0,1,
0:18.9,6822,N,0,0,0,
0:18.9,6838,),0,0,1,
0:19.1,6897,(,0,0,2,
0:19.2,6916,t,0,0,4,
0:19.3,6963,t,0,0,4,
0:19.4,6992,),0,0,2,
0:19.5,7024,(,0,0,0,
0:19.5,7040,p,0,0,0,
0:19.6,7064,),0,0,0,
0:19.6,7087,(,0,0,1,
0:19.7,7105,N,0,0,0,
0:19.7,7118,),0,0,1,
0:19.9,7178,(,0,0,2,
0:19.9,7196,t,0,0,4,
0:20.0,7233,t,0,0,4,
0:20.2,7272,),0,0,2,
0:20.3,7308,(,0,0,0,
0:20.3,7330,p,0,0,0,
0:20.4,7352,),0,0,0,
0:20.4,7369,(,0,0,1,
0:20.5,7390,N,0,0,0,
0:20.5,7400,),0,0,1,
0:20.7,7487,(,0,0,2,
0:20.8,7513,t,0,0,0,
0:20.9,7547,),0,0,2,
0:21.0,7588,(,0,0,0,
0:21.1,7607,p,0,0,0,
0:21.2,7633,),0,0,0,
0:21.2,7650,(,0,0,1,
0:21.3,7668,N,0,0,0,
0:21.3,7684,),0,0,1,
0:21.5,7748,(,0,0,2,
0:21.5,7764,t,0,0,4,
0:21.6,7803,t,0,0,4,
0:21.7,7817,),0,0,2,
0:21.8,7870,(,0,0,0,
0:21.9,7888,p,0,0,0,
0:21.9,7913,),0,0,0,
0:22.0,7933,(,0,0,1,
0:22.0,7952,N,0,0,0,
0:22.1,7967,),0,0,1,
0:22.3,8031,(,0,0,2,
0:22.3,8047,t,0,0,4,
0:22.4,8084,t,0,0,4,
0:22.5,8126,),0,0,2,
0:22.6,8162,(,0,0,0,
0:22.7,8181,p,0,0,0,
0:22.7,8206,),0,0,0,
0:22.8,8223,(,0,0,1,
0:22.9,8245,N,0,0,0,
0:22.9,8253,),0,0,1,
0:23.1,8326,(,0,0,2,
0:23.1,8339,t,0,0,4,
0:23.2,8376,t,0,0,4,
0:23.4,8424,),0,0,2,
0:23.4,8454,(,0,0,0,
0:23.5,8480,p,0,0,0,
0:23.6,8498,),0,0,0,
0:23.6,8519,(,0,0,1,
0:23.7,8538,N,0,0,0,
0:23.7,8551,),0,0,1,
0:23.9,8623,(,0,0,2,
0:23.9,8635,t,0,0,4,
0:24.1,8677,t,0,0,4,
0:24.1,8700,),0,0,2,
0:24.3,8755,(,0,0,0,
0:24.3,8771,p,0,0,0,
0:24.4,8798,),0,0,0,
0:24.4,8817,(,0,0,1,
0:24.5,8836,N,0,0,0,
0:24.5,8854,),0,0,1,
0:24.7,8920,(,0,0,2,
0:24.8,8938,t,0,0,4,
0:24.9,8973,t,0,0,4,
0:25.0,9009,),0,0,2,
0:25.1,9054,(,0,0,0,
0:25.2,9076,p,0,0,0,
0:25.2,9100,),0,0,0,
0:25.3,9121,(,0,0,1,
0:25.3,9140,N,0,0,0,
0:25.4,9156,),0,0,1,
0:25.5,9215,(,0,0,2,
0:25.6,9233,t,0,0,4,
0:25.7,9266,t,0,0,4,
0:25.8,9312,),0,0,2,
0:25.9,9350,(,0,0,0,
0:26.0,9373,p,0,0,0,
0:26.1,9396,),0,0,0,
0:26.1,9411,(,0,0,1,
0:26.1,9430,N,0,0,0,
0:26.2,9445,),0,0,1,
0:26.4,9527,(,0,0,2,
0:26.5,9553,t,0,0,0,
0:26.6,9589,),0,0,2,
0:26.7,9627,(,0,0,0,
0:26.8,9654,p,0,0,0,
0:26.8,9671,),0,0,0,
0:26.9,9691,(,0,0,1,
0:26.9,9709,N,0,0,0,
0:27.0,9723,),0,0,1,
0:27.1,9784,(,0,0,2,
0:27.2,9798,t,0,0,4,
0:27.3,9838,t,0,0,4,
0:27.4,9875,),0,0,2,
0:27.5,9919,(,0,0,0,
0:27.5,9935,p,0,0,0,
0:27.6,9956,),0,0,0,
0:27.7,9976,(,0,0,1,
0:27.7,9997,N,0,0,0,
0:27.8,10011,),0,0,1,
0:27.9,10076,(,0,0,2,
0:28.0,10091,t,0,0,4,
0:28.1,10123,t,0,0,4,
0:28.1,10135,),0,0,2,
0:28.3,10202,(,0,0,0,
0:28.3,10222,p,0,0,0,
0:28.4,10242,),0,0,0,
0:28.5,10261,(,0,0,1,
0:28.5,10281,N,0,0,0,
0:28.6,10296,),0,0,1,
0:28.7,10358,(,0,0,2,
0:28.8,10381,t,0,0,4,
0:28.9,10413,t,0,0,4,
0:28.9,10431,),0,0,2,
0:29.1,10503,(,0,0,0,
0:29.2,10523,p,0,0,0,
0:29.2,10547,),0,0,0,
0:29.3,10567,(,0,0,1,
0:29.4,10590,N,0,0,0,
0:29.4,10598,),0,0,1,
0:29.6,10675,(,0,0,2,
0:29.6,10689,t,0,0,4,
0:29.8,10732,t,0,0,4,
0:29.8,10755,),0,0,2,
0:30.0,10812,(,0,0,0,
0:30.0,10827,p,0,0,0,
0:30.1,10857,),0,0,0,
0:30.2,10874,(,0,0,1,
0:30.2,10893,N,0,0,0,
0:30.3,10909,),0,0,1,
0:30.5,11001,(,0,0,2,
0:30.6,11025,t,0,0,0,
0:30.7,11083,),0,0,2,
0:30.8,11110,(,0,0,0,
0:30.9,11127,p,0,0,0,
0:30.9,11153,),0,0,0,
0:31.0,11173,(,0,0,1,
0:31.0,11190,N,0,0,0,
0:31.1,11204,),0,0,1,
0:31.2,11265,(,0,0,2,
0:31.3,11286,t,0,0,4,
0:31.4,11328,t,0,0,4,
0:31.5,11354,),0,0,2,
0:31.6,11399,(,0,0,0,
0:31.7,11418,p,0,0,0,
0:31.7,11442,),0,0,0,
0:31.8,11461,(,0,0,1,
0:31.8,11479,N,0,0,0,
0:31.9,11494,),0,0,1,
0:32.1,11557,(,0,0,2,
0:32.1,11574,t,0,0,4,
0:32.3,11639,t,0,0,4,
0:32.3,11658,),0,0,2,
0:32.5,11701,(,0,0,0,
0:32.5,11721,p,0,0,0,
0:32.6,11741,),0,0,0,
0:32.6,11761,(,0,0,1,
0:32.7,11780,N,0,0,0,
0:32.7,11790,),0,0,1,
0:33.2,11984,(,0,0,0,
0:33.3,12001,p,0,0,0,
0:33.4,12031,),0,0,0,
0:33.4,12048,(,0,0,1,
0:33.5,12065,N,0,0,0,
0:33.5,12078,),0,0,1,
0:33.7,12160,(,0,0,2,
0:33.8,12187,t,0,0,0,
0:33.8,12202,),0,0,2,
0:34.0,12263,(,0,0,0,
0:34.1,12289,p,0,0,0,
0:34.1,12308,),0,0,0,
0:34.2,12327,(,0,0,1,
0:34.3,12349,N,0,0,0,
0:34.3,12363,),0,0,1,
0:34.5,12424,(,0,0,2,
0:34.5,12441,t,0,0,4,
0:34.6,12479,t,0,0,4,
0:34.7,12510,),0,0,2,
0:34.8,12562,(,0,0,0,
0:34.9,12578,p,0,0,0,
0:35.0,12603,),0,0,0,
0:35.0,12626,(,0,0,1,
0:35.1,12644,N,0,0,0,
0:35.1,12658,),0,0,1,
0:35.3,12724,(,0,0,2,
0:35.3,12740,t,0,0,4,
0:35.4,12776,t,0,0,4,
0:35.5,12801,),0,0,2,
0:35.7,12863,(,0,0,0,
0:35.7,12883,p,0,0,0,
0:35.8,12909,),0,0,0,
0:35.9,12928,(,0,0,1,
0:35.9,12948,N,0,0,0,
0:36.0,12963,),0,0,1,
0:36.2,13038,(,0,0,2,
0:36.2,13050,t,0,0,4,
0:36.4,13117,t,0,0,4,
0:36.4,13138,),0,0,2,
0:36.6,13179,(,0,0,0,
0:36.6,13203,p,0,0,0,
0:36.7,13221,),0,0,0,
0:36.7,13241,(,0,0,1,
0:36.8,13265,N,0,0,0,
0:36.8,13279,),0,0,1,
0:37.1,13373,(,0,0,2,
0:37.2,13407,t,0,0,0,
0:37.3,13448,),0,0,2,
0:37.4,13483,(,0,0,0,
0:37.5,13500,p,0,0,0,
0:37.5,13521,),0,0,0,
0:37.6,13544,(,0,0,1,
0:37.6,13561,N,0,0,0,
0:37.7,13574,),0,0,1,
0:37.8,13640,(,0,0,2,
0:37.9,13654,t,0,0,4,
0:38.0,13692,t,0,0,4,
0:38.1,13726,),0,0,2,
0:38.2,13767,(,0,0,0,
0:38.2,13785,p,0,0,0,
0:38.3,13806,),0,0,0,
0:38.3,13822,(,0,0,1,
0:38.4,13841,N,0,0,0,
0:38.4,13857,),0,0,1,
0:38.6,13922,(,0,0,2,
0:38.7,13936,t,0,0,4,
0:38.8,13969,t,0,0,4,
0:38.9,14005,),0,0,2,
0:39.0,14050,(,0,0,0,
0:39.0,14067,p,0,0,0,
0:39.1,14096,),0,0,0,
0:39.1,14111,(,0,0,1,
0:39.2,14130,N,0,0,0,
0:39.2,14143,),0,0,1,
0:39.8,14341,(,0,0,0,
0:39.8,14361,p,0,0,0,
0:39.9,14387,),0,0,0,
0:40.0,14403,(,0,0,1,
0:40.0,14421,N,0,0,0,
0:40.0,14432,),0,0,1,
0:40.3,14522,(,0,0,2,
0:40.4,14548,t,0,0,0,
0:40.4,14563,),0,0,2,
0:40.6,14632,(,0,0,0,
0:40.6,14651,p,0,0,0,
0:40.7,14672,),0,0,0,
0:40.8,14690,(,0,0,1,
0:40.8,14709,N,0,0,0,
0:40.9,14724,),0,0,1,
0:41.0,14790,(,0,0,2,
0:41.1,14805,t,0,0,4,
0:41.2,14839,t,0,0,4,
0:41.2,14853,),0,0,2,
0:41.4,14923,(,0,0,0,
0:41.5,14942,p,0,0,0,
0:41.5,14968,),0,0,0,
0:41.6,14990,(,0,0,1,
0:41.6,15010,N,0,0,0,
0:41.7,15018,),0,0,1,
0:41.8,15076,(,0,0,2,
0:41.9,15102,t,0,0,4,
0:42.1,15157,t,0,0,4,
0:42.2,15194,),0,0,2,
0:42.2,15224,(,0,0,0,
0:42.3,15247,p,0,0,0,
0:42.4,15271,),0,0,0,
0:42.4,15289,(,0,0,1,
0:42.5,15309,N,0,0,0,
0:42.5,15323,),0,0,1,
0:42.8,15410,(,0,0,2,
0:42.8,15440,t,0,0,0,
0:42.9,15464,),0,0,2,
0:43.1,15522,(,0,0,0,
0:43.1,15547,p,0,0,0,
0:43.2,15569,),0,0,0,
0:43.2,15587,(,0,0,1,
0:43.3,15606,N,0,0,0,
0:43.4,15624,),0,0,1,
0:43.5,15689,(,0,0,2,
0:43.6,15704,t,0,0,4,
0:43.7,15738,t,0,0,4,
0:43.8,15780,),0,0,2,
0:43.9,15819,(,0,0,0,
0:43.9,15837,p,0,0,0,
0:44.0,15861,),0,0,0,
0:44.1,15881,(,0,0,1,
0:44.1,15898,N,0,0,0,
0:44.2,15912,),0,0,1,
0:44.3,15973,(,0,0,2,
0:44.4,15990,t,0,0,4,
0:44.5,16025,t,0,0,4,
0:44.6,16064,),0,0,2,
0:44.7,16107,(,0,0,0,
0:44.7,16122,p,0,0,0,
0:44.8,16147,),0,0,0,
0:44.8,16163,(,0,0,1,
0:44.9,16182,N,0,0,0,
0:44.9,16199,),0,0,1,
0:45.1,16258,(,0,0,2,
0:45.2,16276,t,0,0,4,
0:45.3,16315,t,0,0,4,
0:45.3,16335,),0,0,2,
0:45.5,16385,(,0,0,0,
0:45.5,16406,p,0,0,0,
0:45.6,16428,),0,0,0,
0:45.6,16444,(,0,0,1,
0:45.7,16463,N,0,0,0,
0:45.7,16479,),0,0,1,
0:46.3,16672,(,0,0,0,
0:46.3,16693,p,0,0,0,
0:46.4,16712,),0,0,0,
0:46.4,16734,(,0,0,1,
0:46.5,16754,N,0,0,0,
0:46.5,16771,),0,0,1,
0:46.7,16833,(,0,0,2,
0:46.8,16856,t,0,0,4,
0:46.9,16900,t,0,0,4,
0:46.9,16914,),0,0,2,
0:47.1,16973,(,0,0,0,
0:47.1,16991,p,0,0,0,
0:47.2,17016,),0,0,0,
0:47.3,17038,(,0,0,1,
0:47.3,17057,N,0,0,0,
0:47.4,17071,),0,0,1,
0:47.6,17137,(,0,0,2,
0:47.6,17153,t,0,0,4,
0:47.8,17242,t,0,0,4,
0:47.9,17256,),0,0,2,
0:47.9,17274,(,0,0,0,
0:48.0,17300,p,0,0,0,
0:48.1,17319,),0,0,0,
0:48.1,17338,(,0,0,1,
0:48.2,17357,N,0,0,0,
0:48.2,17367,),0,0,1,
0:48.4,17459,(,0,0,2,
0:48.6,17496,t,0,0,0,
0:48.6,17516,),0,0,2,
0:48.8,17576,(,0,0,0,
0:48.8,17593,p,0,0,0,
0:48.9,17616,),0,0,0,
0:48.9,17636,(,0,0,1,
0:49.0,17656,N,0,0,0,
0:49.0,17673,),0,0,1,
0:49.6,17864,(,0,0,0,
0:49.6,17882,p,0,0,0,
0:49.7,17905,),0,0,0,
0:49.7,17927,(,0,0,1,
0:49.8,17946,N,0,0,0,
0:49.8,17954,),0,0,1,
0:50.0,18021,(,0,0,2,
0:50.1,18039,t,0,0,4,
0:50.1,18066,t,0,0,4,
0:50.2,18097,),0,0,2,
0:50.4,18146,(,0,0,0,
0:50.4,18163,p,0,0,0,
0:50.5,18188,),0,0,0,
0:50.5,18205,(,0,0,1,
0:50.6,18226,N,0,0,0,
0:50.6,18240,),0,0,1,
0:50.8,18297,(,0,0,2,
0:50.8,18316,t,0,0,4,
0:50.9,18347,t,0,0,4,
0:51.0,18387,),0,0,2,
0:51.1,18429,(,0,0,0,
0:51.2,18449,p,0,0,0,
0:51.3,18472,),0,0,0,
0:51.3,18491,(,0,0,1,
0:51.4,18513,N,0,0,0,
0:51.4,18521,),0,0,1,
0:51.6,18595,(,0,0,2,
0:51.6,18605,t,0,0,4,
0:51.7,18635,t,0,0,4,
0:51.9,18684,),0,0,2,
0:51.9,18714,(,0,0,0,
0:52.0,18730,p,0,0,0,
0:52.1,18756,),0,0,0,
0:52.1,18773,(,0,0,1,
0:52.2,18794,N,0,0,0,
0:52.2,18808,),0,0,1,
0:52.4,18867,(,0,0,2,
0:52.4,18887,t,0,0,4,
0:52.5,18919,t,0,0,4,
0:52.6,18957,),0,0,2,
0:52.7,18997,(,0,0,0,
0:52.8,19019,p,0,0,0,
0:52.8,19039,),0,0,0,
0:52.9,19061,(,0,0,1,
0:52.9,19079,N,0,0,0,
0:53.0,19088,),0,0,1,
0:53.2,19161,(,0,0,2,
0:53.2,19178,t,0,0,4,
0:53.3,19214,t,0,0,4,
0:53.4,19229,),0,0,2,
0:53.6,19298,(,0,0,0,
0:53.6,19318,p,0,0,0,
0:53.7,19343,),0,0,0,
0:53.7,19367,(,0,0,1,
0:53.8,19387,N,0,0,0,
0:53.8,19396,),0,0,1,
0:54.1,19476,(,0,0,2,
0:54.1,19487,t,0,0,4,
0:54.2,19519,t,0,0,4,
0:54.3,19554,),0,0,2,
0:54.4,19607,(,0,0,0,
0:54.5,19626,p,0,0,0,
0:54.5,19653,),0,0,0,
0:54.6,19672,(,0,0,1,
0:54.7,19692,N,0,0,0,
0:54.7,19701,),0,0,1,
0:54.9,19793,(,0,0,2,
0:55.0,19819,t,0,0,0,
0:55.2,19874,),0,0,2,
0:55.3,19909,(,0,0,0,
0:55.3,19927,p,0,0,0,
0:55.4,19949,),0,0,0,
0:55.4,19970,(,0,0,1,
0:55.5,19988,N,0,0,0,
0:55.5,20002,),0,0,1,
0:55.7,20059,(,0,0,2,
0:55.7,20083,t,0,0,4,
0:55.8,20122,t,0,0,4,
0:55.9,20142,),0,0,2,
0:56.0,20193,(,0,0,0,
0:56.1,20209,p,0,0,0,
0:56.1,20228,),0,0,0,
0:56.2,20254,(,0,0,1,
0:56.3,20270,N,0,0,0,
0:56.3,20284,),0,0,1,
0:56.5,20341,(,0,0,2,
0:56.5,20359,t,0,0,1,
0:56.6,20386,),0,0,2,
0:56.8,20473,(,0,0,0,
0:56.9,20491,p,0,0,0,
0:56.9,20512,),0,0,0,
0:57.0,20536,(,0,0,1,
0:57.0,20553,N,0,0,0,
0:57.1,20563,),0,0,1,
0:57.3,20648,(,0,0,2,
0:57.4,20675,t,0,0,0,
0:57.5,20715,),0,0,2,
0:57.6,20756,(,0,0,0,
0:57.7,20774,p,0,0,0,
0:57.7,20795,),0,0,0,
0:57.8,20817,(,0,0,1,
0:57.8,20836,N,0,0,0,
0:57.9,20845,),0,0,1,
0:58.0,20913,(,0,0,2,
0:58.1,20930,t,0,0,4,
0:58.2,20962,t,0,0,4,
0:58.3,20993,),0,0,2,
0:58.4,21044,(,0,0,0,
0:58.5,21069,p,0,0,0,
0:58.5,21091,),0,0,0,
0:58.6,21111,(,0,0,1,
0:58.6,21130,N,0,0,0,
0:58.7,21146,),0,0,1,
0:58.9,21206,(,0,0,2,
0:58.9,21230,t,0,0,4,
0:59.0,21263,t,0,0,4,
0:59.1,21294,),0,0,2,
0:59.2,21344,(,0,0,0,
0:59.3,21361,p,0,0,0,
0:59.4,21384,),0,0,0,
0:59.4,21403,(,0,0,1,
0:59.5,21422,N,0,0,0,
0:59.5,21440,),0,0,1,
0:59.7,21504,(,0,0,2,
0:59.7,21524,t,0,0,4,
0:59.8,21557,t,0,0,4,
1:00.0,21603,),0,0,2,
1:00.1,21645,(,0,0,0,
1:00.1,21664,p,0,0,0,
1:00.2,21689,),0,0,0,
1:00.3,21709,(,0,0,1,
1:00.3,21728,N,0,0,0,
1:00.3,21741,),0,0,1,
1:00.6,21832,(,0,0,2,
1:00.7,21858,t,0,0,0,
1:00.8,21919,),0,0,2,
1:00.9,21944,(,0,0,0,
1:01.0,21961,p,0,0,0,
1:01.0,21987,),0,0,0,
1:01.1,22009,(,0,0,1,
1:01.1,22028,N,0,0,0,
1:01.2,22042,),0,0,1,
1:01.4,22113,(,0,0,2,
1:01.4,22129,t,0,0,4,
1:01.5,22156,t,0,0,4,
1:01.6,22200,),0,0,2,
1:01.7,22243,(,0,0,0,
1:01.8,22261,p,0,0,0,
1:01.8,22280,),0,0,0,
1:01.9,22303,(,0,0,1,
1:02.0,22320,N,0,0,0,
1:02.0,22338,),0,0,1,
1:02.2,22395,(,0,0,2,
1:02.2,22412,t,0,0,4,
1:02.3,22453,t,0,0,4,
1:02.4,22486,),0,0,2,
1:02.5,22525,(,0,0,0,
1:02.6,22542,p,0,0,0,
1:02.6,22563,),0,0,0,
1:02.7,22583,(,0,0,1,
1:02.7,22601,N,0,0,0,
1:02.8,22610,),0,0,1,
1:02.9,22670,(,0,0,2,
1:03.0,22690,t,0,0,4,
1:03.1,22721,t,0,0,4,
1:03.2,22762,),0,0,2,
1:03.3,22802,(,0,0,0,
1:03.4,22824,p,0,0,0,
1:03.4,22846,),0,0,0,
1:03.5,22862,(,0,0,1,
1:03.5,22880,N,0,0,0,
1:03.5,22888,),0,0,1,
1:03.8,22974,(,0,0,2,
1:03.8,23002,t,0,0,0,
1:04.0,23047,),0,0,2,
1:04.1,23082,(,0,0,0,
1:04.1,23100,p,0,0,0,
1:04.2,23125,),0,0,0,
1:04.2,23145,(,0,0,1,
1:04.3,23162,N,0,0,0,
1:04.3,23171,),0,0,1,
1:04.5,23243,(,0,0,2,
1:04.6,23256,t,0,0,4,
1:04.6,23290,t,0,0,4,
1:04.8,23330,),0,0,2,
1:04.9,23367,(,0,0,0,
1:04.9,23386,p,0,0,0,
1:05.0,23411,),0,0,0,
1:05.0,23433,(,0,0,1,
1:05.1,23452,N,0,0,0,
1:05.1,23467,),0,0,1,
1:05.3,23536,(,0,0,2,
1:05.4,23556,t,0,0,1,
1:05.5,23580,),0,0,2,
1:05.7,23670,(,0,0,0,
1:05.8,23690,p,0,0,0,
1:05.8,23713,),0,0,0,
1:05.9,23737,(,0,0,1,
1:05.9,23755,N,0,0,0,
1:06.0,23769,),0,0,1,
1:06.2,23837,(,0,0,2,
1:06.2,23853,t,0,0,4,
1:06.3,23890,t,0,0,4,
1:06.5,23944,),0,0,2,
1:06.5,23971,(,0,0,0,
1:06.6,23989,p,0,0,0,
1:06.7,24014,),0,0,0,
1:06.7,24032,(,0,0,1,
1:06.8,24052,N,0,0,0,
1:06.8,24067,),0,0,1,
1:07.0,24128,(,0,0,2,
1:07.0,24152,t,0,0,4,
1:07.1,24184,t,0,0,4,
1:07.3,24228,),0,0,2,
1:07.4,24265,(,0,0,0,
1:07.4,24282,p,0,0,0,
1:07.5,24306,),0,0,0,
1:07.5,24326,(,0,0,1,
1:07.6,24344,N,0,0,0,
1:07.6,24358,),0,0,1,
1:07.8,24417,(,0,0,2,
1:07.8,24438,t,0,0,4,
1:07.9,24472,t,0,0,4,
